Reference_ID,Title,Author,Paragraph_N,Content,Topic
1302,Minimally-invasive approach to synchronous colorectal cancer liver metastases: outcomes from a single centre,Ng,8," Surgical technique

Variables Simultaneous (n=34) Staged (n=32) Combined (n=66) P value

Surgical approach, n (%) 0.6691

Laparoscopic/hand-assisted 27 (79.4) 21 (65.6) 48 (72.7)

Robotic-assisted 7 (20.6) 8 (25.0) 15 (22.7)

Conversion to open 0 3 (9.4) 3 (4.5)

Primary resection, n (%) 0.7478

Right hemicolectomy 4 (11.8) 2 (6.3) 6 (9.1)

Left hemicolectomy 3 (8.8) 1 (3.1) 4 (6.1)

Anterior resection 13 (38.2) 17 (53.1) 30 (45.5)

Low anterior resection 11 (32.3) 9 (28.1) 20 (30.3)

APR 2 (5.9) 3 (9.4) 5 (7.6)

Liver resection, n (%) 0.0122

Ablation 7 (20.6) 1 (3.1) 8 (12.1)

Wedge 7 (20.6) 3 (9.4) 10 (15.2)

Segmental 16 (47.1) 18 (56.3) 34 (51.5)

Lobectomy and above (≥4
segments)

APR, abdominoperineal resection.

",LiverMetastases
1303,Minimally-invasive approach to synchronous colorectal cancer liver metastases: outcomes from a single centre,Ng,9," Surgical outcomes

4 (11.8) 10 (31.3) 14 (21.2)

Variables Simultaneous (n=34) Staged (n=32) Combined (n=66)

Liver resection margins, n (%)

R0 32 (94.1) 27 (84.4) 59 (89.4)

R1 2 (5.9) 5 (15.6) 7 (10.6)

Median operative time [range], min 367 [265–1,053] 533 [225–1,016] 460 [225–1,053]

Median EBL [range], mL 150 [25–650] 300 [50–3,600] 150 [25–3,600]

Mean LOS [range], days 8.5 [3–19] 11.9 [7–27] 10.1 [3–27]

Complications1, n (%)

Grade 1–2 2 (13.3) 4 (26.7) 6 (9.1)

Grade 3 & above 1 (6.7); intra-abdominal abscess 2 (13.3); anastomotic leak; intra
abdominal abscess

3 (4.5)

30-day mortality 0 0 0

1, Clavien-Dindo classification. EBL, estimated blood loss; LOS, length of stay.

is likely multi-factorial with a lower immune response and
a higher level of chronic inflammation resulting in poorer
survival. In addition, these elderly patients are also less
likely to receive optimal treatment as a result of age-related

increases in organ deterioration or comorbidities.
Other known independent prognostic factors for disease
free survival include the largest initial liver metastases >5 cm
and possibly a positive surgical margin (26). An R0

© Digestive Medicine Research. All rights reserved. _Dig Med Res_ 2022;5:10 | https://dx.doi.org/10.21037/dmr-20-155

",LiverMetastases
1304,Minimally-invasive approach to synchronous colorectal cancer liver metastases: outcomes from a single centre,Ng,10," Publication results

Study
Author Year

1 Right
sided CR

Left sided
CR

Rectal
resect

Minor
Hep

Major
Hep

Operative
time2, min

EBL

2,
LOS
mL

3, days Cx Mortality

N
type

Our series 2020 CS 63/66 6 49 11 52 14 460 150 10.1 [3–27] 9/66 0

Bizzoca et al. (18) 2019 CS 17/17 2 6 9 16 1 165 158 8.6 [5–36] 8/17 0

Chen et al. (19) 2019 CM 61/122 15 6 40 61 0 206 200 6.0 [5–6] 14/61 0

Shim et al. (9) 2018 CM 22/123 3 1 18 20 2 135 100 8.5 [5–22] 2/22 0

Ratti et al. (10) 2016 CM 25/25 5 8 12 19 6 420 350 9.0 [4–17] 6/25 0

Ferretti et al. (20) 2015 MCS 127/142 38 46 55 125 17 360 200 8.0 [3–84] 44/142 3/142

Jung et al. (21) 2014 CM 24/24 2 1 21 18 6 290 325 8.0 [5–23] 4/24 0

Hu et al. (22) 2012 CM 13/26 3 4 6 11 2 313 258 8.5 1/13 0

Sasaki et al. (23) 2009 CS 9/82 2 - 7 9 0 418 219 9.0 [3–37] NA 0

1, no. of minimally invasive cases/no. of cases in the series;

1, no. of minimally invasive cases/no. of cases in the series; 2, median values; 3, mean values [range]. CS, case series; CM, case matched;
MCS, multi-centre study; CR, colon resection; Hep, hepatectomy; EBL, estimated blood loss; LOS, length of stay; Cx, complications.

2, median values;

resection on the liver specimen was achieved in 89.4% of
our cases. There are obviously no prospective randomized
trials examining the impact of positive or close margins,
but several large retrospective studies have suggested that
positive margins do not increase the risk of death in the
presence of post resection chemotherapy (27). It is the
authors belief however that resection margins of >10 mm
should always be targeted where anatomically feasible but
surgery should still be offered when such a wide margin is
not feasible.
From a technical standpoint, we managed to complete
all 34 simultaneous resection cases without a need for
conversion. The liver surgeon however required adaptation
to HALS in 3 cases via the periumbilical specimen site.
For the 7 simultaneous robotic-assisted resections in our
series, we further elected to utilize a single incision platform
to reduce the total number of robotic ports keeping in
mind the contrasting fields of surgery. This single incision
platform incorporated two robotic arms (30-degree camera
scope and hot shears with monopolar diathermy) as well
as an assistant laparoscopic port ( _Figure 1_ ) and was located
at the eventual specimen extraction site. This is consistent
with documented evidence that robotic simultaneous
colorectal liver resection is safe, technically feasible and has an
acceptable morbidity in specialized centres with well trained
teams, even in cases requiring major liver resections (28).
Interestingly, we also found that 27.3% (18/66) of our
patients eventually required repeat abdominal surgery.
These included redo liver resections, incisional hernia
repairs and excision of peritoneal recurrences. Of these

patients, the majority (16/18) of them continued to
receive minimally invasive surgery and only 2 patients
required conversion to open for major liver resections.
This highlights that an initial minimally invasive approach
significantly limits the amount of adhesions, providing an
enormous advantage in the patient’s eventual quality of life.
Just as importantly, the option of yet another minimally
invasive redo surgery persists.
The still evolving COVID-19 pandemic has also
placed unprecedented stress on many healthcare systems
worldwide. This sudden scale back in operative resources
has led to re-triaging and prioritization of elective surgeries
including such cancer cases. Delays in complex multidisciplinary cancer surgery could risk losing a window
for resection and ultimately compromise curative-intent
surgeries. It is thus imperative that despite the limitations
imposed by the pandemic, surgeons should still strive
to provide standard of care treatment and all treatment
decisions particularly those in which standard treatment is
delayed or altered, should be made in a multidisciplinary
team. For patients with minor liver disease requiring
resection, more than ever, a minimally invasive approach
is even more enticing with a lower morbidity and a shorter
ICU or hospital stay (29).
We acknowledge the limitations of our study. Our
study numbers are relatively small and the retrospective
nature of this study with its inherent biases precludes easy
generalizability. However, our surgical outcomes compare
favorably to other reported case series. Ferretti _et al._ for
example, which has one of the largest series of 142 patients,

© Digestive Medicine Research. All rights reserved. _Dig Med Res_ 2022;5:10 | https://dx.doi.org/10.21037/dmr-20-155

",LiverMetastases
1305,Minimally-invasive approach to synchronous colorectal cancer liver metastases: outcomes from a single centre,Ng,11,"

[com/article/view/10.21037/dmr-20-155/dss](https://dmr.amegroups.com/article/view/10.21037/dmr-20-155/dss)

",LiverMetastases
1306,Minimally-invasive approach to synchronous colorectal cancer liver metastases: outcomes from a single centre,Ng,12," Single incision platform for robotic cases. Abdominal
port configuration: GelPOINT (comprising of four trocars) is
adapted to the umbilical wound and two additional robotic trocars
are inserted. (Reference: right of pictures is cephalad).

described a comparable median Op time of 360 min, a
median EBL of 200 mL and a mean hospital LOS of 8.0
(range, 3–84) days (20).
Our series suggest that a combined minimally invasive
approach can be performed safely under mature hands. As
surgical techniques and minimally invasive modalities continue
to advance unabated in tandem with emerging evidence on
long term outcomes, a combined minimally invasive approach
to synchronous colorectal liver metastases may well be the
norm rather than exception in the not-so-distant future.

Acknowledgments

_Funding:_ None.

Footnote

_Provenance and Peer Review:_ This article was commissioned
by the Guest Editor (Andrew A. Gumbs) for the series
“Hepatic, Pancreatic and Biliary Surgery” published in
_Digestive Medicine Research_ . The article has undergone
external peer review.

_Reporting Checklist:_ The authors have completed the
STROBE reporting checklist. Available at [https://dmr.](https://dmr.amegroups.com/article/view/10.21037/dmr-20-155/rc)
[amegroups.com/article/view/10.21037/dmr-20-155/rc](https://dmr.amegroups.com/article/view/10.21037/dmr-20-155/rc)

_Data Sharing Statement:_ [Available at https://dmr.amegroups.](https://dmr.amegroups.com/article/view/10.21037/dmr-20-155/dss)

_Conflicts of Interest:_ All authors have completed the
ICMJE uniform disclosure form (available at [https://dmr.](https://dmr.amegroups.com/article/view/10.21037/dmr-20-155/coif)
[amegroups.com/article/view/10.21037/dmr-20-155/coif).](https://dmr.amegroups.com/article/view/10.21037/dmr-20-155/coif)
The series “Hepatic, Pancreatic and Biliary Surgery” was
commissioned by the editorial office without any funding or
sponsorship. The authors have no other conflicts of interest
to declare.
_Ethical Statement:_ The authors are accountable for all
aspects of the work in ensuring that questions related
to the accuracy or integrity of any part of the work are
appropriately investigated and resolved. The study was
conducted in accordance with the Declaration of Helsinki
(as revised in 2013). This study was approved by the Ethics
Committee of Koo Foundation Sun Yat-Sen Cancer Center
(IRB No. 20220118A). Informed consent was not taken
from all the patients due to the retrospective nature of the
study.

_Open Access Statement:_ This is an Open Access article
distributed in accordance with the Creative Commons
Attribution-NonCommercial-NoDerivs 4.0 International
License (CC BY-NC-ND 4.0), which permits the noncommercial replication and distribution of the article with
the strict proviso that no changes or edits are made and the
original work is properly cited (including links to both the
formal publication through the relevant DOI and the license).
[See: https://creativecommons.org/licenses/by-nc-nd/4.0/.](https://creativecommons.org/licenses/by-nc-nd/4.0/)

",LiverMetastases
1307,FOLFOXIRI plus bevacizumab in the treatment of metastatic colorectal cancer patients with unresectable liver metastases,Antoniotti,1,"**Editorial**

**Page 1 of 4**

# **FOLFOXIRI plus bevacizumab in the treatment of metastatic** **colorectal cancer patients with unresectable liver metastases**

**1,2, Guglielmo Vetere**

**1,2**

**Carlotta Antoniotti**

**1,2, Chiara Cremolini**

1Unit of Medical Oncology 2, University Hospital of Pisa, Pisa, Italy; 2Department of Translational Research and New Technologies in Medicine,
University of Pisa, Pisa, Italy
_Correspondence to:_ Prof. Chiara Cremolini, MD, PhD. Unit of Medical Oncology 2, Azienda Ospedaliera-Universitaria Pisana, Pisa, Italy.
Email: chiaracremolini@gmail.com.
_Comment on:_ Shen C, Hu H, Cai Y, _et al_ . mFOLFOXIRI with or without bevacizumab for conversion therapy of RAS/BRAF/PIK3CA mutant
unresectable colorectal liver metastases: the FORBES non-randomized phase II trial. Ann Transl Med 2022;10:171.

Submitted Jul 20, 2022. Accepted for publication Sep 15, 2022.
doi: 10.21037/atm-22-3656
**View this article at:** https://dx.doi.org/10.21037/atm-22-3656",LiverMetastases
1308,FOLFOXIRI plus bevacizumab in the treatment of metastatic colorectal cancer patients with unresectable liver metastases,Antoniotti,2,"Liver is the most common site of metastatic spread from
colorectal cancer (CRC) and the only site of metastases in
around 20% to 30% of all cases.
For CRC patients with liver-limited metastatic disease,
the radical resection of metastases is associated with
prolonged overall survival (OS) as compared with noncurative or no liver resection (1,2).
In the last few years, the initial systemic approach for
patients with mCRC with metastases confined to the
liver has notably changed, thus leading to an increased
proportion of patients being or becoming candidate for
radical liver surgery, especially among those deemed initially
ineligible for radical liver metastasectomy (3). Indeed, the
evolution of active systemic treatments and surgical and
locoregional interventions, together with their proper
and tailored integration in the context of experienced
multidisciplinary boards, has substantially contributed to
improve the clinical outcome of these selected patients,
offering to a proportion of them a chance of cure or, at
least, long-term disease-free remission (4).
Despite this rapidly evolving scenario, a consensus about
the optimal therapeutic approach for patients with liver-only
metastases has not been well-established. This is partially
explained by the limited number of trials prospectively
conducted in this special population, whose interpretation
is biased by the heterogeneity among enrolled patients with
different predictive and prognostic factors and the lack
of widely accepted criteria on technical/clinical surgical
resectability.",LiverMetastases
1309,FOLFOXIRI plus bevacizumab in the treatment of metastatic colorectal cancer patients with unresectable liver metastases,Antoniotti,3,"Nevertheless, for patients with initially unresectable liver
metastases, due to technical/surgical and/or oncological/
prognostic factors, when secondary resection is a pursuable
objective, the therapeutic choice should be a regimen
able to both induce tumour shrinkage and eradicate the
micrometastatic disease, in order to make technically
feasible locoregional interventions, and/or to prevent
disease relapse and achieve a long-term clinical benefit.
To these purposes, the intensified three-drug chemotherapy
regimen FOLFOXIRI, including 5-fluorouracil, oxaliplatin
and irinotecan, in combination with bevacizumab, is
considered a valuable choice when the secondary resection
of metastases is a treatment objective, mainly in the case of
liver-limited spread (5-7).
The potential role of first-line FOLFOXIRI plus
bevacizumab as conversion treatment was prospectively
challenged in the phase II OLIVIA study (8), which
enrolled 80 patients with liver-limited mCRC deemed
initially unresectable according to predefined surgical
criteria. As compared to a standard treatment with a twodrug chemotherapy regimen (FOLFOX, 5-fluorouracil,
and oxaliplatin) plus bevacizumab, FOLFOXIRI plus
bevacizumab increased the overall (R0/R1/R2) resection
rate (61% versus 49%, P=0.271)—primary endpoint of
the study. Notably, among patients receiving the triplet
chemotherapy plus bevacizumab a higher radical (R0)
resection rate (54% versus 31%) as well as a markedly
improved objective response rate (ORR) (81% versus 62%)
were reported, with a substantial benefit also observed

© Annals of Translational Medicine. All rights reserved. _Ann Transl Med_ 2022;10(18):952 | https://dx.doi.org/10.21037/atm-22-3656

**Page 2 of 4** **Antoniotti et al. Growing evidence as a conversion treatment**

in terms of survival results. The intensified approach did
not raise notable safety concerns, with an expected rate of
surgery-related adverse events.",LiverMetastases
1310,FOLFOXIRI plus bevacizumab in the treatment of metastatic colorectal cancer patients with unresectable liver metastases,Antoniotti,4,"in terms of survival results. The intensified approach did
not raise notable safety concerns, with an expected rate of
surgery-related adverse events.
Consistently, in a pooled analysis of 205 patients with
unresectable liver-limited mCRC, not selected according
to the extent of the metastatic spread and/or the potential
conversion to resectability, treated with FOLFOXIRI plus
bevacizumab in three prospective clinical trials by GONO
Foundation, the intensified treatment allowed to achieve
remarkable response rate (69%), which translated into a
considerable R0/R1 resection rate (36%) and long-term
survival outcomes, regardless of clinical and molecular
prognostic factors (9).
While data highlighting the added value of the triplet in
patients selected according to inclusion criteria of pivotal
trials were rapidly increasing (10-12), the primary tumour
location clearly emerged as a clinical factor affecting the
sensitivity to anti-EGFR antibodies in _RAS_ and _BRAF_ wildtype tumours (13,14). Based on this evidence, the primary
tumour location entered the therapeutic algorithm for
upfront treatment of mCRC patients, as one of the major
drivers in the current decision-making process, together
with patients’ clinical conditions and _RAS_ and _BRAF_
mutational status (15).
In this perspective, independently of the goal of the
treatment, the addition of an anti-EGFR antibody to
a two-drug chemotherapy regimen is nowadays highly
recommendable for patients with left-sided and _RAS_ and
_BRAF_ wild-type tumours, whereas a bevacizumab-based
first-line therapy should be preferred for those with rightsided and/or _RAS_ or _BRAF_ mutated tumours (15). To this
regard, an accurate clinical selection of patients candidate
to the FOLFOXIRI plus bevacizumab regimen in terms of
age and Eastern Cooperative Oncology Group (ECOG)
performance status is needed (10,11).
In the single-center FORBES trial, Shen and colleagues
evaluated the added value of combining bevacizumab
with a modified schedule of first-line FOLFOXIRI
(mFOLFOXIRI) with reduced dose of irinotecan in
molecularly selected mCRC patients (16).",LiverMetastases
1311,FOLFOXIRI plus bevacizumab in the treatment of metastatic colorectal cancer patients with unresectable liver metastases,Antoniotti,5,"While the impact of combining bevacizumab with
different chemotherapy regimens, including fluoropyrimidine
monotherapy and oxaliplatin- or irinotecan-containing
doublets has been largely investigated (17-21), no
randomized comparison of FOLFOXIRI with or without
bevacizumab was available when the FORBES trial was
planned.
Though in the absence of a prospective randomized

comparison, the absolute benefit from adding bevacizumab
to FOLFOXIRI in terms of survival was previously
estimated, by adopting a propensity score-adjusted model,
to minimize as more as possible this relevant bias (22). In a
population not selected according to both the extent of the
disease and tumour mutational profile, patients treated with
FOLFOXIRI plus bevacizumab in the TRIBE study (10)
reported longer progression-free survival (PFS) and OS,
than those treated with the triplet alone in a previous
phase III trial (23), with a magnitude of benefit similar to
the relative impact of adding bevacizumab to less intensive
chemotherapy backbones.
The same question challenged in the FORBES trial
has been addressed also by the AIO-CELIM-2 (24),
investigating the added value of combining bevacizumab to
first-line FOLFOXIRI as compared to FOLFOXIRI alone,
in mCRC patients with _RAS_ or _BRAF_ mutated unresectable
liver-limited disease. However, the study was prematurely
terminated due to the slow accrual, and no significant
differences were observed with regard to the primary
endpoint ORR.
Looking at the main results provided by the FORBES
trial, they appear hardly comparable to previous findings,
even indirectly, due to some methodological and conceptual
limitations.
The non-randomized design and the treatment
assignment based on patients’ p",LiverMetastases
1312,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,Haddad,1," Liver venous deprivation (LVD) is known to
induce better future liver remnant (FLR) hypertrophy than
portal vein embolization (PVE). The role of LVD, compared with PVE, in inducing FLR hypertrophy and allowing safe hepatectomy for patients with extensive colorectal
liver metastases (CLM) and high-risk factors for inadequate
hypertrophy remains unclear.
",LiverMetastases
1313,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,Haddad,2," Patients undergoing LVD ( _n_ = 22) were matched
to patients undergoing PVE ( _n_ = 279) in a 1:3 ratio based
on propensity scores, prior to planned hepatectomy for
CLM at a single center (1998–2023). The propensity scores
accounted for high-risk factors for inadequate hypertrophy,
namely pre-procedure standardized FLR (sFLR), body mass

Antony Haddad and Mohammad Mahdi Khavandi are considered
co-first authors on this work.

Jean-Nicolas Vauthey and Peiman Habibollahi shared senior
authorship on this work.

© Society of Surgical Oncology 2024
First Received: 14 August 2024
Accepted: 4 November 2024
Published online: 4 December 2024

J.-N. Vauthey, MD
e-mail: jvauthey@mdanderson.org

P. Habibollahi, MD
e-mail: PHabibollahi@mdanderson.org

Vol:.(1234567890)

index, number of systemic therapy cycles, an extension of
PVE to segment IV portal vein branches, prior resection, and
chemotherapy-associated liver injury.
",LiverMetastases
1314,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,Haddad,3," The matched cohort included 78 patients (LVD,
_n_ = 22; PVE, _n_ = 56). Baseline characteristics were comparable. The number of tumors in the whole liver was similar
but more LVD patients had five or more tumors in the left
liver (32% vs. 11%; _p =_ 0.024). Post-procedure sFLR was
similar but LVD patients had a significantly higher degree
of hypertrophy (16% vs. 11%; _p =_ 0.017) and kinetic growth
rate (3.9 vs. 2.4% per week; _p =_ 0.006). More LVD patients
underwent extended right hepatectomy (93% vs. 55%;
_p =_ 0.008). Only one patient had postoperative hepatic insufficiency after PVE, and no patients died within 90 days of
hepatectomy.
",LiverMetastases
1315,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,Haddad,4," In patients with extensive CLM and highrisk factors, LVD is associated with better FLR hypertrophy compared with PVE and allows for safely performing
curative-intent extended major hepatectomy.

Portal vein embolization (PVE) was first reported in
the late 1980s and early 1990s, and its further use proved
essential in patients planned to undergo hepatectomy for
liver tumors. [1][–][4] Implementation of PVE expanded surgeons’
ability to perform liver resection in more than two-thirds
of patients presenting with insufficient future liver remnant (FLR), with low rates of postoperative hepatic insufficiency (PHI; <10%) and death (<5%) within 90 days of

Propensity Score‑Matched Analysis of Liver … 1753

hepatectomy. [2][,][5][–][10] Despite these successes, not all patients
achieve adequate FLR regeneration after PVE, with nearly
one-third remaining ineligible for safe liver resection. [11]
Hepatic vein embolization (HVE) was introduced as a
salvage procedure in patients who did not achieve adequate
FLR with PVE. [12][,][13] Recently, Guiu and colleagues introduced liver venous deprivation (LVD) encompassing simultaneous PVE and HVE to induce faster and greater FLR
hypertrophy. [14][,][15] Multicenter studies have confirmed the
superiority of LVD compared with PVE in causing greater
FLR hypertrophy; [16][–][21] however, the indications for its use
remain unclear because of the high efficacy of PVE as well
as the heterogeneity among studies comparing LVD and
PVE. [22] Studies from our institution identified the predictors of standardized FLR (sFLR) hypertrophy after PVE and
allowed us to determine factors associated with decreased
FLR hypertrophy. [23] These high-risk factors include increasing body mass index (BMI), previous hepatectomy, and
embolization not extended to segment IV branches.
Patients with extensive colorectal liver metastases (CLM)
typically present with a multitude of these high-risk factors.
They often require two-stage hepatectomy for curative intent
and are more likely to receive multiple lines and cycles of
chemotherapy. Extended preoperative chemotherapy is
not only associated with an increased risk of PHI requiring a larger FLR but may also have inadequate hypertrophy after PVE due to chemotherapy-associated liver injury
(CALI). [7][,][24][,][25] Our institution reserves the use of LVD for
this population with high-risk factors and who have a higher
likelihood of inadequate hypertrophy after PVE. In the current study, our aim was to compare sFLR hypertrophy and
surgical outcomes after LVD and PVE using a propensity
score matching analysis that considers the factors that inform
the selection of patients for LVD and PVE in patients with
extensive CLM.

",LiverMetastases
1316,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,Haddad,5,"

_Patient Selection and Data Collection_

This single-center retrospective cohort study included
consecutive patients who underwent right PVE or LVD with
or without embolization of segment IV branches to induce
liver hypertrophy in preparation for liver resection for CLM
during the period 1998–2023. Patients were excluded if they
underwent staged or technical failure of PVE or LVD, had
missing pre- or post-intervention liver volumes, or underwent assessment of liver volume later than 8 weeks after
intervention. [5] The total cohort consisted of 301 patients.
Clinicopathologic and demographic characteristics were
collected from a departmental database and electronic medical records (Epic, Verona, WI, USA). The research received
approval from the Institutional Review Board, and a waiver

for informed consent was granted based on the retrospective
nature of the study (#2023-0875).

_Propensity Score Matching_

Over the study period, 22 patients with CLM underwent
LVD. The propensity score matching method was performed
to reduce the impact of treatment selection bias and balance
the sample size of treatment groups before analyzing the
hypertrophy and resection outcomes for the study cohort. A
multivariable logistic regression model evaluating patients’
likelihood of receiving LVD compared with PVE was used
to estimate the propensity score. Model covariates were preprocedure sFLR, BMI, number of systemic therapy cycles,
an extension of PVE to segment IV portal vein branches,
prior resection including first-stage resection of a two-staged
resection plan, and suspicion of CALI based on pre-intervention imaging and laboratory tests. The nearest-neighbor
methodology with caliper (0.25 × standard deviation) and
without replacement was applied to match the 22 patients
who underwent LVD to patients who underwent PVE, in a
1:3 fashion. The cohort included in the analysis after propensity score matching included 78 patients.

_Liver Volumetry_

Patients deemed to have oncologically resectable liver
tumors underwent assessment of sFLR using a previously
described formula: sFLR = FLR volume ­(cm [3] ) ÷ total
estimated liver volume ­(cm [3] ) [TELV]. [2] FLR volume was
determined using contrast-enhanced computed tomography
(CT) scans performed with a multidetector row CT scanner using a triphasic liver protocol at 2.5, 3, or 5 mm slice
thickness. Liver volumes were determined after loading
contrast-enhanced CT images onto Advantage Workstation
4.1 (GE Medical Systems, Chicago, IL, USA). In patients
with CLM in the FLR, the volumes of these tumors were
excluded from FLR to ensure accurate estimation of the
sFLR. TELV was calculated based on the patient’s body
surface area (BSA) using the following formula: TELV =
1267.28 × BSA ­(m [2] )—794.41. [26] For patients undergoing
right PVE extended to segment IV, segment IV volume was
not included in the sFLR.
Initial post-intervention sFLR assessment was performed
no later than 8 weeks after the intervention. [5] Patients with
adequate liver regeneration but progressive disease did not
undergo resection. Some patients with insufficient liver
growth but controlled disease had serial liver volume measurements to allow time for additional sFLR growth. In these
patients, post-intervention sFLR was defined as the sFLR
calculated closest to the clinical decision to proceed with or
forgo resection. The decision to perform surgery was based

1754 A. Haddad et al.

on sFLR, kinetic growth rate (KGR), disease status, and the
surgeon’s clinical judgment.
The degree of hypertrophy (DH) was calculated as the
change between the pre- and post-intervention sFLR, and
KGR was calculated as the DH divided by the number of
weeks between the intervention and post-intervention sFLR
measurement. [5][,][6] The methodology for calculating sFLR,
DH, and KGR was replicated for patients who had PVE or
LVD.

_Hepatic Vein Embolization Procedure_

All procedures were performed by fellowship-trained
interventional radiologists with more than 3 years of experience. After prepping and draping using a sterile technique,
ultrasound-guided percutaneous access was obtained to
the target peripheral portal vein branch as well as the target peripheral hepatic vein branch using a 21-guage Chiba
needle and AccuStick introducer system (Boston Scientific,
Marlborough, MA, USA). A 5Fr sheath was inserted into
the portal system. Hemodynamic assessment and portal
venography were performed for initial assessment. Using a
combination of reverse curved catheter and wire, the target
portal vein tributaries were selected, and embolization was
performed using Embozene microspheres (100–400 μm)
[Varian Medical Systems, Austin, TX, USA] until stasis,
followed by coil embolization using 0.035 Nester (8–12 mm
in diameter) [Cook Medical, Bloomington, IN, USA]. After
completion of the portal embolization, hemodynamic assessment and portal venography was repeated to confirm satisfactory PVE. The access tract was embolized using coils or
liquid embolics at the discretion of the operator.
Subsequently, an hepatic venogram was performed from
the access site to evaluate the anatomy and measure the
size of the target vein. Based on the measurement, a type
2 Amplatzer vascular plug (Abbott, Abbott Park, IL, USA)
was selected and an appropriately sized vascular sheath was
inserted into the target hepatic vein. The Amplatzer plug
was deployed about 1 cm short of the central confluence
of the hepatic veins to avoid interference with the surgery.
Following this, Trufill n-BCA liquid embolic (Johnson &
Johnson Medtech, New Brunswick, NJ, USA) diluted with
lipiodol was used to embolize the hepatic veins peripheral
to the vascular plug and access tract to achieve hemostasis.

_Definitions_

Pre-intervention systemic therapy was defined as systemic
therapy delivered within 12 months before PVE, and BMI
was defined as BMI calculated during the pre-intervention
assessment visit. Tumor size and number were determined
from imaging obtained for operative planning, which is usually before PVE or LVD in a single-stage resection plan and

before the first-stage hepatectomy of a two-stage resection
plan. [27][,][28] History of liver disease was defined based on previous clinical assessment and serologic markers. Gross liver
appearance was defined as the surgeon’s interpretation of
liver appearance at the time of surgery or diagnostic laparoscopy, which is prospectively recorded in our institutional
database. Definition of adverse events and severe adverse
events after PVE and LVD was based on the Society of
Interventional Radiology Adverse Events Classification System. [29] Extent of surgical resection was defined according to
the Brisbane terminology. [30] PHI was defined as a peak total
bilirubin level of at least 7 mg/dL. [9] Postoperative mortality
was defined as death within 90 days of hepatectomy.

_Statistical Analysis_

Continuous variables were expressed as median and interquartile range (IQR) and compared using the Kruskal–Wallis test or Mann–Whitney U test, while categorical variables
were compared using the Chi-square test or Fisher’s exact
test. _P-_ values <0.05 were considered statistically significant
and all tests were two-sided. Statistical analysis was performed using SPSS version 26 (IBM Corporation, Armonk,
NY, USA) and GraphPad Prism version 10.0.3 for Windows
(GraphPad Software, Boston, MA, USA).

",LiverMetastases
1317,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,Haddad,6,"

_Patient Characteristics_

The final cohort included 78 patients. Median age was
54 years (47–62), and 46 patients (59%) were male (Table 1).
Median BMI was 27.7 kg/m [2] (24.8–31.7). Most patients had
no history of liver disease or diabetes. Of the 73 patients
with an assessment of gross liver appearance, the liver was
considered normal in 39 (53%) patients, fibrotic/cirrhotic
in 3 (4%) patients, and steatotic/consistent with CALI in
31 (43%) patients. Almost all of the patients received preintervention systemic therapy ( _n_ = 76, 97%), and the median
number of cycles received was 8 (5–12). Of the 76 patients
receiving systemic therapy, oxaliplatin and an anti-vascular
endothelial growth factor (VEGF) agent were part of the
regimen for 69 (89%) and 64 (82%) patients, respectively.
The median tumor number was 6 (3–11) and tumor size was
3.5 cm (2.3–5.5), with the majority of patients having bilateral tumors ( _n_ = 59, 76%). The number and size of tumors
in the right and left liver are shown in Table 1.
Compared with patients who underwent PVE, patients
who underwent LVD did not differ in age, sex, and BMI
(Table 1). There was also no significant difference in the
rates of diabetes mellitus and liver disease in patients who
underwent LVD compared with those who underwent
PVE. There was no difference in the gross liver appearance

Propensity Score‑Matched Analysis of Liver … 1755

",LiverMetastases
